concept,translation
晚期荧光着染,Late-Stage Staining
荧光遮蔽灶,Obscured Hypofluorescence
点片状强荧光,Pinpoint Hyperfluorescence
强荧光为主,Predominant Hyperfluorescence
弱荧光为主,Predominant Hypofluorescence
早期强荧光为主,Early-Stage Hyperfluorescence Predominates
早期弱荧光为主,Early-Stage Hypofluorescence Predominates
静脉期强荧光为主,Late-Stage Hyperfluorescence Predominates
荧光着染,Staining
CDFI病变内可见血流信号,Abnormal Blood Flow in Lesion Using Doppler
脉络膜凹（+）,Abnormal Choroidal Concavity
病变表面可见带状回声,Band-shaped Echo Visualized on Lesion Surface
边界清晰,Clear and Regular Lesion Borders
可探及扁平隆起实性病变,Flat and Raised Solid Lesions
后运动（+）,Fluttering with Movement on Dynamic Imaging
可探及半球形实性病变,Hemispherical Solid Lesions
内回声均为中强回声,Internally Isoechoic and Hyperechoic Imaging Findings Present
内回声均为中低回声,Internally Isoechoic and Hypoechoic Imaging Findings Present
玻璃体内带状回声与病变相连,Intravitreal Band Connected to Primary Lesion
边缘欠光滑,Irregular Lesion Borders
视盘旁蕈状实性病变,Irregular
内以中低回声为主,Isoechoic and Hypoechoic Imaging Findings Present
动度为自侧向另侧的规律运动,Negative Imaging Findings with Movement on Dynamic Imaging
未见挖空征及脉络膜凹,No Ultrasonographic Hollowing or Abnormal Findings in the Posterior Fossa Choroid Plexus
玻璃体内点条状及带状回声与球壁相连,Point- or Band- shaped Hypoechoic Intravitreal Lesion(s) Connected to the Retina
"玻璃体内可见点条状或条带状弱回声,不与球壁相连",Point- or Band- shaped Hypoechoic Intravitreal Lesion(s) Not Connected to the Retina
后巩膜凹（+）,Positive Posterior Scleral Concavity
内回声欠均,Predominantly Hypoechoic Imaging Findings Present
内回声均为等回声,Predominantly Internally Isoechoic Imaging Findings Present
"病变完全被造影剂填充,呈快进快出型",Rapid Filling and Rapid Emptying of Contrast Agent to and from the Lesion
"病变完全被造影剂填充,为快进慢出型",Rapid Filling and Slow Empying of Contrast Agent to and from the Lesion
继发性视网膜脱离,Secondary Retinal Detachment
不规则形实性病变,Solid Lesion with Irregular Borders
挖空征（+）,Ultrasonographic Hollowing
玻璃体混浊,Vitreous Opacity
RPE改变,Retinal Pigment Epithelium Changes
斑片状强荧光,Patchy (“Stippled”) Hyperfluorescence
视盘高荧光,Optic Disc Hyperfluorescence
晚期团状弱荧光,Late-Stage Clustered Hypofluorescence
颞侧视网膜隆起,Temporal Retinal Elevation
上方视网膜隆起,Superior Retinal Elevation
鼻侧视网膜隆起,Nasal Retinal Elevation
中期团状弱荧光,Mid-Stage Clustered Hypofluorescence
病变表面血管扩张,Abnormal Vasodilation at the Lesion Surface
病变周围点片状强荧光,Circumferential Pinpoint Hyperfluorescence
病变周围强荧光渗漏,Circumferential Fluorescence Leakage
晚期病灶表面血管扩张渗漏,Late-Stage Surface Vasodilation with Leakage
动脉期病变内见丰富血管网,Rich Vascular Network in Arterial Phase
静脉期弥漫强荧光, Diffuse Hyperfluorescence in Venous Phase
